name,team,agents,rounds,rating,ACS,KD,ADR,KPR,APR,FKPR
adverso,00,"['sova', 'skye', 'breach']",542,0.94,190.4,0.9,126.8,0.63,0.29,0.09
TiGG,SR,"['astra', 'viper', 'omen']",652,0.94,180.0,0.85,116.2,0.61,0.4,0.05
dgzin,FUR,"['chamber', 'jett', 'kayo']",231,0.94,214.3,0.99,138.4,0.77,0.17,0.18
Kadoom,SPE,"['jett', 'raze', 'neon']",186,0.94,232.0,0.96,149.8,0.8,0.15,0.18
Monyet,GES,"['raze', 'jett', 'neon']",222,0.94,214.4,0.89,142.4,0.7,0.23,0.15
Mazino,LEV,"['sage', 'sova', 'skye']",415,0.94,204.5,0.94,136.2,0.7,0.32,0.08
YaBoiDre,NYFU,"['chamber', 'sova', 'kayo']",159,0.94,211.3,0.99,142.0,0.76,0.2,0.08
gao,BOBO,"['sova', 'chamber', 'kayo']",113,0.93,207.2,0.89,131.0,0.7,0.24,0.11
TenZ,SEN,"['jett', 'raze']",268,0.93,213.2,0.95,139.6,0.75,0.22,0.17
MAGNUM,APK,"['killjoy', 'cypher', 'viper']",225,0.93,193.0,0.94,125.3,0.65,0.23,0.05
JUGi,FKS,"['neon', 'jett', 'reyna']",188,0.93,215.9,0.93,132.9,0.74,0.2,0.13
pyth,G2,"['killjoy', 'brimstone', 'chamber']",462,0.93,184.0,0.91,127.3,0.67,0.24,0.07
Nivera,KCORP,"['viper', 'killjoy', 'kayo']",851,0.93,183.7,0.92,120.9,0.65,0.23,0.08
jcrueL,0,"['chamber', 'jett']",129,0.93,196.7,0.97,126.9,0.73,0.11,0.15
neT,TGRD,"['chamber', 'viper', 'killjoy']",776,0.93,185.7,0.94,120.5,0.66,0.17,0.1
koldamenta,KOI,"['astra', 'viper', 'brimstone']",674,0.93,163.1,0.85,107.0,0.56,0.37,0.05
aimDLL,BBL,"['viper', 'kayo', 'breach']",233,0.93,179.1,0.82,121.3,0.59,0.35,0.06
ban,T1,"['jett', 'skye', 'chamber']",213,0.93,217.3,0.98,133.6,0.77,0.14,0.2
Gemma,AE,"['sova', 'fade', 'kayo']",174,0.93,190.5,0.91,122.2,0.67,0.28,0.09
dephh,SEN,"['astra', 'chamber', 'cypher']",921,0.92,174.8,0.87,115.0,0.6,0.31,0.06
JitBoyS,TLN,"['chamber', 'omen', 'killjoy']",196,0.92,190.7,0.93,129.8,0.67,0.16,0.1
nzr,LEV,"['kayo', 'sova', 'fade']",217,0.92,185.1,0.92,128.0,0.65,0.21,0.05
lenne,TS,"['sova', 'breach', 'skye']",462,0.92,184.8,0.86,125.7,0.61,0.32,0.08
Redgar,TL,"['sova', 'breach', 'skye']",573,0.92,190.2,0.91,125.0,0.66,0.25,0.08
soulcas,TL,"['sova', 'kayo', 'neon']",851,0.92,178.4,0.89,120.6,0.63,0.3,0.05
Governor,TTR,"['sova', 'jett']",129,0.92,229.2,0.98,160.0,0.75,0.28,0.14
Dep,ZETA,"['jett', 'viper', 'sage']",511,0.92,200.6,0.95,127.3,0.71,0.21,0.11
Deryeon,BLD,"['jett', 'raze', 'chamber']",462,0.91,221.9,0.97,138.4,0.77,0.17,0.18
BerserX,BME,"['jett', 'raze', 'skye']",538,0.91,194.9,0.91,125.8,0.67,0.19,0.13
AloNeFillz,MiTH,"['sova', 'fade', 'sage']",186,0.91,188.7,0.82,124.9,0.61,0.28,0.07
Killua,FS,"['jett', 'neon']",196,0.91,215.0,0.92,135.9,0.74,0.14,0.15
maxie,BLD,"['omen', 'viper', 'brimstone']",462,0.91,191.2,0.91,129.6,0.68,0.31,0.06
Hiko,100T,"['viper', 'sova']",102,0.91,166.8,0.82,112.1,0.55,0.37,0.02
corey,TSM,"['jett', 'raze', 'cypher']",145,0.91,188.8,0.97,127.8,0.68,0.14,0.07
ZachaREEE,CB,"['cypher', 'viper', 'killjoy']",148,0.91,189.1,0.88,128.4,0.66,0.26,0.07
Subroza,TSM,"['viper', 'astra', 'skye']",145,0.91,210.3,0.95,132.5,0.72,0.18,0.12
Turko,BBL,"['sage', 'sova', 'fade']",233,0.91,163.1,0.87,109.4,0.58,0.24,0.03
dimasick,TL,"['omen', 'astra', 'sova']",395,0.9,168.0,0.87,113.2,0.61,0.27,0.07
Jady,BAR,"['kayo', 'viper', 'skye']",379,0.9,166.0,0.82,108.5,0.59,0.31,0.07
k1Ng,GEN,"['killjoy', 'viper', 'cypher']",171,0.9,192.0,0.94,120.1,0.69,0.2,0.08
AsLanM4shadoW,BBL,"['sova', 'astra', 'chamber']",233,0.9,211.3,0.94,137.8,0.73,0.21,0.11
skrawl,FC,"['skye', 'sova', 'viper']",249,0.9,183.0,0.85,125.4,0.6,0.24,0.05
Boo,TH,"['astra', 'viper', 'kayo']",419,0.9,170.8,0.8,115.9,0.58,0.33,0.05
exy,DK,"['sage', 'chamber', 'astra']",123,0.9,197.0,0.89,125.7,0.67,0.2,0.07
HANN,MARU,"['jett', 'neon', 'chamber']",149,0.9,214.6,0.93,139.9,0.72,0.16,0.12
truo,PW,"['omen', 'viper', 'chamber']",129,0.89,182.3,0.9,122.9,0.66,0.29,0.07
tehbotoL,RRQ,"['brimstone', 'breach', 'astra']",538,0.89,178.3,0.9,120.6,0.64,0.27,0.05
Sushiboys,TLN,"['chamber', 'killjoy', 'cypher']",578,0.89,188.4,0.86,128.7,0.64,0.19,0.09
foxz,TLN,"['sova', 'skye', 'jett']",578,0.89,193.0,0.89,129.7,0.66,0.25,0.08
Surf,XIA,"['jett', 'raze', 'chamber']",578,0.89,210.4,0.93,137.2,0.73,0.13,0.17
seven,TSM,"['chamber', 'jett', 'raze']",145,0.89,196.3,0.85,125.2,0.65,0.17,0.18
XXiF,DSG,"['sage', 'raze', 'jett']",213,0.88,185.3,0.81,118.6,0.64,0.32,0.1
hype,WYL,"['viper', 'sage', 'cypher']",279,0.88,169.5,0.83,114.3,0.61,0.27,0.06
dazzLe,SR,"['sova', 'skye', 'breach']",652,0.88,173.9,0.79,117.8,0.57,0.31,0.07
delz1k,KRÜ,"['brimstone', 'omen', 'sova']",415,0.88,164.5,0.81,109.5,0.57,0.28,0.05
Quick,FUR,"['chamber', 'killjoy', 'raze']",217,0.88,181.1,0.84,118.8,0.63,0.22,0.1
Rb,DRX,"['jett', 'raze', 'sage']",664,0.88,191.6,0.87,122.9,0.65,0.2,0.14
d3ffo,IWC,"['jett', 'raze', 'neon']",348,0.88,178.3,0.81,116.8,0.59,0.26,0.12
NcSlasher,BTR,"['astra', 'sage', 'kayo']",222,0.88,169.3,0.78,112.1,0.58,0.4,0.08
FNS,NRG,"['sage', 'breach', 'viper']",1958,0.88,162.0,0.8,106.4,0.55,0.27,0.06
LEXY,LVR,"['breach', 'sage', 'viper']",355,0.88,174.2,0.85,112.9,0.61,0.27,0.04
frostmind,BTR,"['sova', 'cypher', 'killjoy']",314,0.87,160.6,0.81,105.4,0.57,0.23,0.05
Haodong,EDG,"['astra', 'viper', 'breach']",107,0.87,174.6,0.84,116.4,0.61,0.21,0.09
Klaus,KRÜ,"['breach', 'kayo', 'viper']",415,0.87,170.0,0.79,112.9,0.58,0.38,0.04
nephh,X10,"['neon', 'breach', 'kayo']",190,0.87,224.1,0.94,141.2,0.77,0.25,0.14
Teerapong,FS,"['sage', 'skye', 'raze']",196,0.87,195.6,0.84,130.1,0.66,0.3,0.07
hazed,TSM,"['astra', 'viper', 'sage']",486,0.87,169.4,0.83,112.3,0.59,0.28,0.06
crow,ZETA,"['sova', 'breach', 'skye']",511,0.87,160.2,0.79,108.6,0.56,0.3,0.04
Moves,NS,"['sova', 'breach', 'fade']",128,0.87,205.1,0.81,132.1,0.67,0.25,0.06
tixx,BOBO,"['astra', 'viper', 'brimstone']",249,0.86,172.6,0.85,118.7,0.63,0.31,0.05
Rossy,FaZe,"['sova', 'viper', 'skye']",145,0.86,157.8,0.75,110.0,0.51,0.24,0.05
gucc107,YFP,"['omen', 'brimstone', 'sage']",148,0.86,177.4,0.79,121.8,0.6,0.43,0.03
DRAGON,BOBO,"['skye', 'reyna', 'yoru']",151,0.86,217.7,0.89,146.8,0.75,0.17,0.11
Minimise,95x,"['breach', 'skye', 'sage']",136,0.86,172.5,0.88,110.4,0.63,0.26,0.07
vakk,ACE,"['sova', 'skye', 'fade']",222,0.86,165.5,0.81,110.8,0.57,0.21,0.06
Genghsta,DSG,"['sova', 'breach']",213,0.86,185.6,0.77,135.7,0.57,0.34,0.03
iluri,MOUZ,"['breach', 'sova', 'brimstone']",188,0.85,160.0,0.75,109.2,0.53,0.29,0.06
iRdy,WGS,"['sova', 'sage', 'skye']",167,0.85,165.2,0.8,110.7,0.58,0.29,0.08
Sylvan,WGS,"['viper', 'astra', 'omen']",167,0.85,176.3,0.83,119.5,0.62,0.34,0.02
POISED,FaZe,"['astra', 'cypher', 'killjoy']",742,0.85,162.7,0.79,108.8,0.57,0.31,0.05
bucher,aTTaX,"['cypher', 'viper', 'killjoy']",188,0.85,165.2,0.81,118.2,0.6,0.21,0.06
Paincakes,CB,"['raze', 'sova']",148,0.85,171.4,0.73,121.6,0.55,0.34,0.05
agM,COL,"['breach', 'sova', 'killjoy']",129,0.85,180.2,0.82,122.4,0.59,0.23,0.03
Reformed,EG,"['viper', 'killjoy', 'skye']",620,0.85,163.3,0.76,106.4,0.56,0.35,0.05
zombs,SEN,"['viper', 'astra', 'omen']",233,0.85,180.8,0.77,121.4,0.6,0.37,0.04
cauanzin,LOUD,"['kayo', 'skye', 'sova']",258,0.85,170.0,0.73,112.4,0.55,0.29,0.05
braveaf,IWC,"['sova', 'breach', 'sage']",225,0.85,159.8,0.78,112.0,0.55,0.31,0.07
Destrian,VIT,"['breach', 'sova', 'astra']",419,0.84,171.0,0.82,119.2,0.58,0.29,0.05
kongared,AAA,"['breach', 'kayo', 'skye']",186,0.84,182.2,0.83,119.6,0.64,0.33,0.05
feqew,DSY,"['jett', 'cypher', 'chamber']",419,0.84,202.3,0.89,131.5,0.71,0.14,0.16
xnfri,DFM,"['kayo', 'chamber', 'skye']",150,0.84,175.4,0.79,125.8,0.59,0.3,0.07
wannafly,MiTH,"['killjoy', 'chamber', 'sage']",186,0.84,181.8,0.83,117.6,0.63,0.15,0.11
Crws,TLN,"['skye', 'breach', 'omen']",578,0.83,174.9,0.79,115.2,0.61,0.27,0.06
STYRON,ENGM,"['kayo', 'sage', 'sova']",190,0.83,188.1,0.77,130.0,0.61,0.33,0.05
scourge,N8V.W,"['neon', 'sage', 'kayo']",129,0.83,186.0,0.8,124.1,0.64,0.25,0.08
axeLuvYa,AE,"['omen', 'viper', 'brimstone']",174,0.83,152.6,0.78,99.7,0.54,0.32,0.03
Asteriskk,PSJ,"['brimstone', 'sova', 'sage']",154,0.83,153.9,0.7,98.5,0.52,0.37,0.05
Russ,LPB,"['skye', 'cypher', 'killjoy']",674,0.83,163.9,0.77,106.2,0.56,0.28,0.09
Dreamas,B8,"['killjoy', 'cypher', 'sage']",311,0.83,159.5,0.8,103.3,0.56,0.22,0.06
starxo,KOI,"['skye', 'astra', 'omen']",262,0.83,180.5,0.82,112.8,0.62,0.22,0.1
FREY,ENGM,"['chamber', 'cypher', 'killjoy']",190,0.82,182.0,0.79,122.5,0.63,0.15,0.09
zeek,TH,"['kayo', 'omen', 'skye']",198,0.82,167.6,0.79,108.0,0.6,0.32,0.08
Poach,FaZe,"['sova', 'astra', 'breach']",107,0.82,153.8,0.75,107.2,0.5,0.26,0.04
Khalil,FUR,"['omen', 'viper', 'killjoy']",217,0.82,153.4,0.78,109.6,0.57,0.25,0.06
bezn1,Peit,"['omen', 'kayo', 'cypher']",258,0.82,179.2,0.74,116.0,0.59,0.27,0.07
nobody,EDG,"['fade', 'sova']",107,0.82,165.8,0.76,109.5,0.58,0.19,0.06
Shanks,NRG,"['chamber', 'jett']",174,0.81,176.4,0.83,111.7,0.63,0.17,0.17
dapr,SEN,"['chamber', 'cypher', 'viper']",307,0.8,177.6,0.75,120.5,0.6,0.23,0.07
ANGE1,NAVI,"['breach', 'sova', 'jett']",1507,0.8,168.6,0.75,112.3,0.57,0.24,0.1
AslaN,S2G,"['viper', 'jett', 'chamber']",165,0.8,159.9,0.75,106.9,0.55,0.27,0.06
SEIDER,bonk,"['viper', 'omen', 'sage']",170,0.79,153.4,0.79,103.2,0.55,0.18,0.05
dispenser,TS,"['killjoy', 'kayo']",158,0.79,141.0,0.7,93.4,0.48,0.16,0.03
dinkzj,ANTO,"['cypher', 'viper', 'killjoy']",488,0.78,147.8,0.71,100.0,0.5,0.22,0.03
NakJi,WGS,"['chamber', 'sage', 'raze']",124,0.78,171.6,0.75,109.8,0.6,0.23,0.04
Derialy,NTH,"['killjoy', 'brimstone', 'sage']",150,0.76,167.1,0.73,112.1,0.57,0.19,0.07
YaBoiLewis,FKS,"['raze', 'kayo']",188,0.75,175.9,0.75,117.1,0.61,0.21,0.1
artn,LZ,"['breach', 'omen', 'viper']",190,0.75,154.7,0.69,98.5,0.53,0.34,0.04
Nozz,BOBO,"['sage', 'skye', 'omen']",113,0.75,153.2,0.64,101.6,0.5,0.22,0.08
natzlorant,AE,"['sage', 'chamber', 'skye']",174,0.75,182.4,0.8,113.6,0.63,0.13,0.14
dzii,GMN,"['brimstone', 'jett', 'kayo']",190,0.74,162.3,0.7,104.5,0.57,0.18,0.08
BlackWiz,NTH,"['astra', 'fade', 'omen']",150,0.74,154.7,0.73,101.3,0.56,0.23,0.07
Luke,TR,"['chamber', 'killjoy', 'reyna']",167,0.74,173.3,0.76,117.0,0.61,0.11,0.1
GodDead,ONS,"['sage', 'skye', 'kayo']",171,0.74,154.3,0.62,105.2,0.5,0.34,0.05
pAura,S2G,"['killjoy', 'cypher', 'breach']",195,0.73,176.0,0.7,116.1,0.56,0.16,0.11
roseau,PSJ,"['breach', 'viper', 'sova']",154,0.73,147.3,0.61,102.8,0.47,0.25,0.01
Mazin,FUR,"['raze', 'jett', 'kayo']",217,0.73,161.8,0.7,114.5,0.55,0.28,0.07
Obnoks,MOUZ,"['skye', 'sage', 'chamber']",165,0.73,149.9,0.69,104.8,0.53,0.21,0.04
v1xen,NIP,"['viper', 'omen', 'brimstone']",179,0.72,150.9,0.68,98.6,0.53,0.21,0.05
zunba,ONS,"['viper', 'astra', 'omen']",171,0.72,147.9,0.66,97.7,0.51,0.31,0.07
Jonn,RED,"['neon', 'jett', 'reyna']",258,0.72,175.2,0.7,116.2,0.59,0.18,0.12
Jeong Hi,NS,"['astra', 'omen']",130,0.71,148.6,0.61,98.9,0.48,0.23,0.03
Bangnan,DK,"['reyna', 'chamber', 'sage']",121,0.71,152.7,0.69,101.2,0.55,0.15,0.11
Frosty,PK.A,"['killjoy', 'astra', 'brimstone']",213,0.71,153.5,0.72,101.8,0.56,0.16,0.07
Esperanza,DK,"['skye', 'sage', 'cypher']",123,0.7,151.2,0.66,101.3,0.53,0.21,0.07
Delend,47,"['omen', 'viper', 'astra']",138,0.69,140.1,0.55,98.0,0.45,0.31,0.03
Marjes,Ghos,"['viper', 'sova', 'breach']",196,0.69,134.2,0.61,87.2,0.47,0.2,0.07
CyderX,SUP,"['sova', 'omen', 'viper']",120,0.68,129.5,0.54,89.8,0.39,0.32,0.03
Eeyore,PSJ,"['cypher', 'chamber', 'viper']",154,0.68,164.0,0.67,109.7,0.56,0.15,0.07
Chibab,DK,"['jett', 'neon']",124,0.66,173.3,0.67,112.2,0.58,0.14,0.14
GODLIKE,WGS,"['kayo', 'breach', 'skye']",167,0.61,120.3,0.48,81.3,0.4,0.28,0.07
WIX,WGS,"['viper', 'sova', 'chamber']",124,0.61,135.6,0.57,90.8,0.48,0.17,0.06
